UTC	LocalTime	zapf(wted)	zapf(bwted)	Furby	Beam	Tstamp	Injector.snr	Injector.dm	Injector.width	Injector.prob	Heimdall.snr	Heimdall.dm	Heimdall.width	Heimdall.prob	Online.snr	Online.dm	Online.width	Online.prob	Offline.snr	Offline.dm	Offline.width	Offline.prob	Unnamed Furby_file	Actual.dm	Actual.width	Actual.snr
2019-03-12-19:27:37	19-03-13_05:27:37	0	0	furby_5859	345	103.611801968	26.7129042692	407.989344295	10.949781124	1.0	20.7685	412.464	10.48576	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-19:27:37_B345_S316467.dada	413.141	13.762	23.67	
2019-03-13-10:53:09	19-03-13_20:53:09	0	0	furby_9812	84	189.778437241	9.90176659567	4262.99516207	73.0048688668	1.0	6.00722	4513.21	83.88608	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-10:53:09_B084_S581970.dada	4289.12	103.541	8.6	
2019-03-13-12:14:45	19-03-13_22:14:45	0	0	furby_9504	176	118.815391929	26.5998165574	391.382783655	82.3131598431	1.0	15.352	504.604	83.88608	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-12:14:45_B176_S362854.dada	349.067	103.541	21.44	
2019-03-13-13:30:57	19-03-13_23:30:57	0	0	furby_6956	161	131.173921538	28.2461372333	2896.13423198	5.96769486218	1.0	19.2928	2887.27	5.24288	1.0	19.2928009	2887.27	5.24288	1.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-13:30:57_B161_S402221.dada	2897.238	6.226	21.23	
2019-03-13-10:29:53	19-03-13_20:29:53	0	0	furby_4741	68	325.318697829	38.4312094446	1301.256788	2.03048020576	1.0	32.6636	1296.2	2.62144	1.0	32.66360092	1296.2	2.62144	0.93684363	11.65	1294.03	12.695	1.0	nan	FURBY_2019-03-13-10:29:53_B068_S993652.dada	1300.521	1.966	37.02	
2019-03-13-11:24:45	19-03-13_21:24:45	0	0	furby_9693	290	214.687840381	34.700282739	56.2483640546	14.8286725968	1.0	31.4565	41.5002	20.97152	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-11:24:45_B290_S655212.dada	35.643	20.643	31.9	
2019-03-12-16:37:17	19-03-13_02:37:17	0	0	furby_9467	251	266.479098199	8.0542295614	3334.77113892	33.8134473986	1.0	6.24504	440.226	0.32768	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-12-16:37:17_B251_S815429.dada	3289.88	155.311	11.22	
2019-03-13-14:24:53	19-03-14_00:24:53	0	0	furby_5491	248	207.411007464	11.0869479362	1336.83112793	6.13827420817	1.0	7.41129	1339.62	5.24288	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-14:24:53_B248_S633850.dada	1334.623	6.226	7.98	
2019-03-13-14:35:21	19-03-14_00:35:21	0	0	furby_6179	194	338.817592865	13.4163634836	4544.45106884	9.20479693369	1.0	12.7078	4549.99	10.48576	1.0	12.70779991	4549.99	10.48576	0.92008062	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-14:35:21_B194_S1036987.dada	4534.884	9.174	13.48	
2019-03-13-14:24:53	19-03-14_00:24:53	0	0	furby_4081	273	89.2482413452	13.6716302056	1164.59342234	6.55291243942	1.0	13.1045	1154.67	10.48576	1.0	13.10449982	1154.67	10.48576	0.71566356	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-14:24:53_B273_S273132.dada	1161.65	9.174	13.4	
2019-03-13-13:44:45	19-03-13_23:44:45	0	0	furby_5197	306	318.643532469	24.3028726491	4887.04207121	10.2239289515	1.0	19.5391	4894.68	10.48576	1.0	19.53910065	4894.68	10.48576	0.97386078	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-13:44:45_B306_S975647.dada	4889.986	13.762	20.65	
2019-03-13-14:58:17	19-03-14_00:58:17	0	0	furby_7576	90	135.498171903	26.4254181879	471.039744877	9.56910685116	1.0	24.6659	478.013	10.48576	1.0	24.66589928	478.013	10.48576	0.96930425	20.8	467.165	12.695	1.0	nan	FURBY_2019-03-13-14:58:17_B090_S413818.dada	478.031	9.174	23.38	
2019-03-13-14:35:21	19-03-14_00:35:21	0	0	furby_7429	105	111.792136089	10.6336673569	3274.46003759	5.48123890194	1.0	8.8703	3261.65	5.24288	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	FURBY_2019-03-13-14:35:21_B105_S343322.dada	3281.819	4.26	9.71	
